epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2384.54,0.38443,0.40012,0.86791,0.90846,0.77694,0.85897,0.7985,0.43717,0.58562,0.85127,0.000156771,0.000156771,0.000156771
84,2413,0.38331,0.39207,0.86292,0.91149,0.76284,0.86328,0.79751,0.43376,0.60675,0.846,0.000148524,0.000148524,0.000148524
85,2441.15,0.39894,0.39277,0.8685,0.92402,0.79967,0.88388,0.8258,0.41595,0.57009,0.84219,0.000140277,0.000140277,0.000140277
86,2469.63,0.39499,0.40989,0.86716,0.91525,0.80848,0.89056,0.82179,0.42575,0.57034,0.8421,0.000132031,0.000132031,0.000132031
87,2498.21,0.39074,0.40074,0.86912,0.95562,0.76342,0.88012,0.80946,0.42667,0.52803,0.84399,0.000123784,0.000123784,0.000123784
88,2526.69,0.38607,0.39479,0.87337,0.95711,0.74852,0.87481,0.80843,0.42693,0.54739,0.8456,0.000115537,0.000115537,0.000115537
89,2555.14,0.37101,0.36234,0.84523,0.94591,0.79443,0.88203,0.81798,0.42046,0.53077,0.85085,0.00010729,0.00010729,0.00010729
90,2583.63,0.37827,0.3936,0.86708,0.88354,0.79088,0.86331,0.80243,0.4263,0.54448,0.87085,9.90437e-05,9.90437e-05,9.90437e-05
91,2627.64,0.3592,0.32452,0.84869,0.87595,0.79543,0.86797,0.81127,0.43095,0.56816,0.85937,9.0797e-05,9.0797e-05,9.0797e-05
92,2655.74,0.3427,0.31206,0.82318,0.9064,0.77831,0.86814,0.80219,0.43185,0.57901,0.84801,8.25503e-05,8.25503e-05,8.25503e-05
93,2683.88,0.33804,0.31136,0.82272,0.92687,0.76983,0.88095,0.81778,0.42422,0.57228,0.8487,7.43036e-05,7.43036e-05,7.43036e-05
94,2712.17,0.33628,0.30182,0.82542,0.85057,0.81262,0.88156,0.81375,0.43204,0.57039,0.84713,6.60569e-05,6.60569e-05,6.60569e-05
95,2740.44,0.33902,0.30424,0.82046,0.93393,0.76274,0.8811,0.81657,0.42304,0.56356,0.84438,5.78102e-05,5.78102e-05,5.78102e-05
96,2768.64,0.33162,0.30807,0.8263,0.92061,0.78841,0.89187,0.82058,0.43541,0.55846,0.84491,4.95635e-05,4.95635e-05,4.95635e-05
97,2796.88,0.33203,0.29329,0.82789,0.936,0.74452,0.87225,0.80497,0.4298,0.55495,0.84285,4.13168e-05,4.13168e-05,4.13168e-05
98,2825.14,0.33055,0.29173,0.82135,0.94387,0.7579,0.88287,0.81704,0.42225,0.54958,0.84173,3.30701e-05,3.30701e-05,3.30701e-05
99,2853.3,0.33281,0.29772,0.8299,0.95294,0.76156,0.88388,0.81823,0.42226,0.555,0.84064,2.48234e-05,2.48234e-05,2.48234e-05
100,2881.51,0.32587,0.29779,0.83177,0.93796,0.77026,0.88435,0.81918,0.42026,0.55556,0.84068,1.65767e-05,1.65767e-05,1.65767e-05
